Term,Rate
1 MO	7.15795
2 MO	7.35025
3 MO	7.51465
6 MO	7.79285
12 MO	8.03555
2 YR	7.73
3 YR	7.74
4 YR	7.79
5 YR	7.82
7 YR	7.93
10 YR	8.02


